"source","asin","keyword","search_volume","organic_rank","sponsored_rank","cpr","iq_score","title_density","competing_products","keyword_sales","cpc","trend","notes"
"helium10:get_keywords_by_asin","B00NLLUMOE","queen comforter set","228725","","","307.98","11436.25","36","20000","996","1.02","11","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NLLUMOE","king sheet set","29863","","","62.66","2986.3","9","10000","967","2.3","'-22","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-video|section-sponsored-brand-header; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NLLUMOE","mattress pad queen","19174","","","48.01","3834.8","3","5000","957","2.29","'-6","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-brand-header; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NQDGAP2","king sheets","61115","13","22","99.21","3055.75","7","20000","1948","2.39","'-11","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic|sponsored|section-sponsored-brand-header|section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NQDGAP2","bed sheets","112573","15","","163.97","2814.33","18","40000","1833","1.47","'-7","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NQDGAP2","king size sheets set","133210","26","56","185.96","13321","10","10000","1789","2.03","12","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic|sponsored|section-sponsored-video|section-sponsored-brand-header; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NQDGAP2","bamboo sheets","133059","","","185.78","33264.75","10","4000","1562","2.79","'-10","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-brand-header; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NQDGAP2","sheets","100849","10","21","155.48","1008.49","35","100000","1519","1.74","'-22","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic|sponsored; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NQDGAP2","deep pocket queen sheets","39269","","","74.82","3926.9","12","10000","1277","1.65","'-6","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-brand-header; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NQDGAP2","california king sheet sets","39251","23","","74.15","7850.2","10","5000","1277","2.44","'-3","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic|section-sponsored-brand-header; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NQDGAP2","cooling blanket","308675","","16","400.23","15433.75","27","20000","1216","1.1","'-17","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=sponsored; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NQDGAP2","cooling sheets","76711","41","","121.94","1917.78","20","40000","1173","2.39","'-6","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NQDGAP2","king size sheets","33596","14","46","68.06","1679.8","12","20000","1008","2.49","'-26","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic|sponsored|section-sponsored-brand-header|section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NQDGAP2","fitted sheet queen","29865","","","62.02","1493.25","7","20000","997","2.06","'-4","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-brand-header; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NQDGAP2","king sheet set","29863","16","24","62.66","2986.3","9","10000","967","2.3","'-22","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic|sponsored|section-sponsored-brand-header|section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NQDGAP2","silk sheets","60645","103","","97.68","15161.25","4","4000","911","1.85","27","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NQDGAP2","king bed sheets","27633","18","72","57.11","2763.3","0","10000","781","2.28","'-22","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic|sponsored|section-sponsored-video|section-sponsored-brand-header; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NQDGAP2","queen fitted sheet","19172","","","53.15","958.6","19","20000","769","1.79","'-13","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-brand-header; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NQDGAP2","cotton sheets","54847","36","","91.75","2742.35","7","20000","705","1.77","'-16","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NQDGAP2","queen bedding sets","51262","","","86.2","1708.73","3","30000","705","1.25","20","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-brand-header; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NQDGAP2","king sheets deep pocket","18217","32","","45.91","1821.7","0","10000","652","2.34","'-18","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic|section-sponsored-brand-header; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NQDGAP2","king fitted sheet only","15016","67","","44.35","1501.6","7","10000","637","2.07","'-11","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NQDGAP2","cooling sheets king size","27695","51","","59.11","3461.88","6","8000","636","2.85","'-15","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NQDGAP2","split king sheets sets for adjustable bed","22516","36","","54.24","28074.81","10","802","587","2.48","'-7","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NQDGAP2","bamboo sheets king size","25908","53","","56.67","12954","5","2000","578","2.99","'-21","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NQDGAP2","king size bed sheets","19117","23","","46.98","1911.7","0","10000","564","2.6","'-28","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic|section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NQDGAP2","college essentials","71328","","1","109.11","2377.6","0","30000","474","0.57","51","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=sponsored; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NQDGAP2","king size fitted sheet","11481","138","","39.82","1148.1","6","10000","432","1.96","0","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00O35DAL4","bed sheets","112573","57","","163.97","2814.33","18","40000","1833","1.47","'-7","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00O35DAL4","bamboo sheets","133059","","","185.78","33264.75","10","4000","1562","2.79","'-10","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-brand-header; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00O35DAL4","sheets","100849","68","3","155.48","1008.49","35","100000","1519","1.74","'-22","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic|sponsored; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00O35DAL4","full size bed sheets","46472","46","2","80.82","4647.2","4","10000","1373","1.55","9","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic|sponsored; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00O35DAL4","deep pocket queen sheets","39269","","","74.82","3926.9","12","10000","1277","1.65","'-6","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-brand-header; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00O35DAL4","california king sheet sets","39251","","","74.15","7850.2","10","5000","1277","2.44","'-3","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-brand-header; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00O35DAL4","cooling sheets","76711","55","","121.94","1917.78","20","40000","1173","2.39","'-6","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00O35DAL4","fitted sheet queen","29865","","","62.02","1493.25","7","20000","997","2.06","'-4","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-brand-header; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00O35DAL4","pillows standard size set of 4","60537","251","","102.05","10089.5","18","6000","923","1.85","3","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00O35DAL4","full sheet set","23856","11","24","54.55","795.2","6","30000","914","1.61","'-2","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic|sponsored|section-sponsored-brand-header; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00O35DAL4","silk sheets","60645","118","","97.68","15161.25","4","4000","911","1.85","27","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00O35DAL4","full size sheet sets","23881","15","6","52.65","2388.1","0","10000","885","1.64","11","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic|sponsored; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00O35DAL4","queen fitted sheet","19172","","","53.15","958.6","19","20000","769","1.79","'-13","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-brand-header; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00O35DAL4","cotton sheets","54847","95","","91.75","2742.35","7","20000","705","1.77","'-16","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00O35DAL4","queen bedding sets","51262","","","86.2","1708.73","3","30000","705","1.25","20","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-brand-header; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00O35DAL4","full xl sheets","34509","11","","65.3","8627.25","0","4000","671","1.13","80","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00O35DAL4","sheets full size bed","22529","22","34","51.36","2252.9","1","10000","670","1.56","'-2","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic|sponsored|section-sponsored-brand-header; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00O35DAL4","king sheets deep pocket","18217","","","45.91","1821.7","0","10000","652","2.34","'-18","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-brand-header; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00O35DAL4","full bed sheets","23962","40","4","53.07","2396.2","1","10000","614","1.43","10","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic|sponsored|section-sponsored-brand-header; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00O35DAL4","full sheets","15934","50","13","44.48","318.68","4","50000","580","1.55","'-9","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic|sponsored|section-sponsored-brand-header; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00O35DAL4","full size sheets","86535","38","2","128.17","8653.5","3","10000","476","1.46","'-2","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic|sponsored|section-sponsored-brand-header; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00O35DAL4","queen sheets deep pocket","29863","","","59.77","2986.3","0","10000","408","2","'-6","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-brand-header; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00O35DAL4","full size fitted sheet","10090","126","","37.84","1009","5","10000","390","1.4","'-4","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00O35DAL4","fitted sheet","18199","93","","57.77","227.49","37","80000","384","1.49","2","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00O35DAL4","fitted sheet full","11481","48","","40.78","382.7","9","30000","382","1.43","11","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X1VP7","king sheets","61115","65","","99.21","3055.75","7","20000","1948","2.39","'-11","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc|organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X1VP7","deep pocket queen sheets","39269","","","74.82","3926.9","12","10000","1277","1.65","'-6","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X1VP7","cooling sheets","76711","25","","121.94","1917.78","20","40000","1173","2.39","'-6","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X1VP7","king size sheets","33596","","","68.06","1679.8","12","20000","1008","2.49","'-26","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X1VP7","king bed sheets","27633","111","","57.11","2763.3","0","10000","781","2.28","'-22","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc|organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X1VP7","deep pocket king sheet set","26675","50","","58.54","3810.71","8","7000","759","2.61","10","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc|organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X1VP7","king sheets deep pocket","18217","57","","45.91","1821.7","0","10000","652","2.34","'-18","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc|organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X1VP7","cooling sheets king size","27695","","","59.11","3461.88","6","8000","636","2.85","'-15","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X1VP7","king size bed sheets","19117","46","","46.98","1911.7","0","10000","564","2.6","'-28","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc|organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X1VP7","king size fitted sheet","11481","151","","39.82","1148.1","6","10000","432","1.96","0","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X1VP7","bed sheets king size","14971","37","","42.05","1497.1","0","10000","393","2.46","'-17","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc|organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X1VP7","king size pillows set of 4","9140","169","","37.68","1305.71","8","7000","344","2.43","19","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X1VP7","fitted sheet king","10090","154","","36.56","1009","1","10000","333","2.05","'-7","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X1VP7","king size sheets deep pocket set","9869","112","","35.97","1409.86","0","7000","322","2.89","'-10","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X1VP7","sheets king size","22536","34","","54.26","1126.8","10","20000","308","2.5","'-30","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc|organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X1VP7","cooling bed sheets","18146","","","47.75","1814.6","6","10000","272","2.47","'-7","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X1VP7","satin sheets queen size","8293","143","","36.35","8293","7","1000","243","1.52","11","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X1VP7","queen deep pocket sheet set","6646","","","32.14","738.44","0","9000","230","1.66","'-4","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X1VP7","extra deep pocket king sheets","6168","29","","32.21","616.8","2","10000","218","2.26","0","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc|organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X1VP7","king size bedding sets","16517","","","44.21","825.85","1","20000","217","1.74","9","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X1VP7","cal king sheets","6161","","","31.88","1540.25","1","4000","217","3.18","'-6","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X1VP7","cotton sheets king","12220","","","40.7","1357.78","6","9000","211","2.26","'-21","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X1VP7","king sheets cooling","4908","","","30.07","545.33","0","9000","142","2.69","'-17","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B0822X1VP7","extra deep pocket queen sheets","8109","","","36.13","810.9","7","10000","135","1.6","0","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc; balanced top-25 per ASIN; enriched_by=analyze_keywords"
